DTC 	DTC Text
P010300 	Mass or Volume Air Flow Circ. High Input
P010400 	Mass or Volume Air Flow Circuit Intermittent
P010500 	Manifolt Absolut Pressure/Barometic Pressure Circuit
P010600 	Manifold Abs.Pressure or Bar.Pressure Range/Performance
P010700 	Manifold Abs.Pressure or Bar.Pressure Low Input
P010800 	Manifold Abs.Pressure or Bar.Pressure High Input
P010A00 	Mass or Volume Air Flow "B" Circuit
P010B00 	Mass or Volume Air Flow "B" Circuit Range/Performance
P010C00 	Mass or Volume Air Flow "B" Circuit Low Input
P010D00 	Mass or Volume Air Flow "B" Circuit High Input
P010E00 	Mass or Volume Air Flow "B" Circuit Intermittent/Erratic
P010F00 	Mass or Volume Air Flow Sensor A/B Correlation
P011000 	Intake Air Temperature Sensor 1 Circuit
P011100 	Intake Air Temp.Circ. Range/Performance
P011200 	Intake Air Temp.Circ. Low Input
P011300 	Intake Air Temp.Circ. High Input
P011400 	Intake Air Temp.Circ. Intermittend
P011500 	Engine Coolant Temperature Sensor 1 Circuit
P011600 	Engine Coolant Temperature Sensor 1 Circuit Range/Performance
P011700 	Engine Coolant Temperature Sensor 1 Circuit Low
P011800 	Engine Coolant Temperature Sensor 1 Circuit High
P011A00 	Engine Coolant Temperature Sensor 1/2 Correlation
P012000 	Throttle/Pedal Pos.Sensor A Circ. Malfunction
P012100 	Throttle/Pedal Pos.Sensor A Circ. Range/Performance
P012200 	Throttle/Pedal Pos.Sensor A Circ. Low Input
P012300 	Throttle/Pedal Pos.Sensor A Circ. High Input
P012500 	Insufficient Coolant Temp.for Closed Loop Fuel Control
P012800 	Coolant Termostat ( Coolant Temperature Below Thermostat Regulating Temperature)
P012A00 	Turbocharger/Supercharger Inlet Pressure Sensor Circuit
P012B00 	Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance
P012C00 	Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low
P012D00 	Turbocharger/Supercharger Inlet Pressure Sensor Circuit High
P013000 	O2 Sensor Circ.,Bank1-Sensor1 Malfunction
P013100 	O2 Sensor Circ.,Bank1-Sensor1 Low Voltage
P013200 	O2 Sensor Circ.,Bank1-Sensor1 High Voltage
P013300 	O2 Sensor Circ.,Bank1-Sensor1 Slow Response
P013400 	O2 Sensor Circ.,Bank1-Sensor1 No Activity Detected
P013500 	O2 Sensor Heater Circ.,Bank1-Sensor1 Malfunction
P013600 	O2 Sensor Circ.,Bank1-Sensor2 Malfunction
P013700 	O2 Sensor Circ.,Bank1-Sensor2 Low Voltage
P013800 	O2 Sensor Circ.,Bank1-Sensor2 High Voltage
P013900 	O2 Sensor Circ.,Bank1-Sensor2 Slow Response
P014000 	O2 Sensor Circ.,Bank1-Sensor2 No Activity Detected
P014100 	O2 Sensor Heater Circ.,Bank1-Sensor2 Malfunction
P014200 	O2 Sensor Circ.,Bank1-Sensor3
P014300 	O2 Sensor Circ.,Bank1-Sensor3 Low Voltage
P014400 	O2 Sensor Circ.,Bank1-Sensor3 High Voltage
P014500 	O2 Sensor Circ.,Bank1-Sensor3 Slow Response
P014600 	O2 Sensor Circ.,Bank1-Sensor3 No Activity Detected
P014700 	O2 Sensor Heater Circ.,Bank1-Sensor3
P014800 	Fuel Delivery Error
P014900 	Fuel Timing Error
P015000 	O2 Sensor Circ.,Bank2-Sensor1 Malfunction
P015100 	O2 Sensor Circ.,Bank2-Sensor1 Low Voltage
P015200 	O2 Sensor Circ.,Bank2-Sensor1 High Voltage
P015300 	O2 Sensor Circ.,Bank2-Sensor1 Slow Response
P015400 	O2 Sensor Circ.,Bank2-Sensor1 No Activity Detected
P015500 	O2 Sensor Heater Circ.,Bank2-Sensor1 Malfunction
P015600 	O2 Sensor Circ.,Bank2-Sensor2 Malfunction
P015700 	O2 Sensor Circ.,Bank2-Sensor2 Low Voltage
P015800 	O2 Sensor Circ.,Bank2-Sensor2 High Voltage
P015900 	O2 Sensor Circ.,Bank2-Sensor2 Slow Response
P016000 	O2 Sensor Circ.,Bank2-Sensor2 No Activity Detected
P016100 	O2 Sensor Heater Circ.,Bank2-Sensor2 Malfunction
P016200 	O2 Sensor Circ.,Bank2-Sensor3 Malfunction
P016300 	O2 Sensor Circ.,Bank2-Sensor3 Low Voltage
P016400 	O2 Sensor Circ.,Bank2-Sensor3 High Voltage
P016500 	O2 Sensor Circ.,Bank2-Sensor3 Slow Response
P016600 	O2 Sensor Circ.,Bank2-Sensor3 No Activity Detected
P016700 	O2 Sensor Heater Circ.,Bank2-Sensor3 Malfunction
P016900 	Incorrect Fuel Composition
P017000 	Fuel Trim,Bank1 Malfunction
P017100 	Fuel Trim,Bank1 System too Lean
P017200 	Fuel Trim,Bank1 System too Rich
P017300 	Fuel Trim,Bank2 Malfunction
P017400 	Fuel Trim,Bank2 System too Lean
P017500 	Fuel Trim,Bank2 System too Rich
P017700 	Fuel Composition Sensor Circuit Range/Performance
P017800 	Fuel Composition Sensor Circuit Low
P017900 	Fuel Composition Sensor Circuit High
P018100 	Fuel Temperature Sensor A Circuit Range/Performance
P018200 	Fuel Temperature Sensor A Circuit Low Input
P018300 	Fuel Temperature Sensor A Circuit High Input
P018600 	Fuel Temperature Sensor B Circuit Range/Performance
P018700 	Fuel Temperature Sensor B Circuit Low
P018800 	Fuel Temperature Sensor B Circuit High
P018A00 	Fuel Pressure Sensor "B" Circuit
P018B00 	Fuel Pressure Sensor "B" Circuit Range/Performance
P018C00 	Fuel Pressure Sensor "B" Circuit Low
P019000 	Fuel Rail Pressure Sensor "A" Circuit
P019100 	Fuel Rail Pressure Sensor "A" Circuit Range/Performance
P019200 	Fuel Rail Pressure Sensor "A" Circuit Low Input
P019300 	Fuel Rail Pressure Sensor "A" Circuit High Input
P019400 	Fuel Rail Pressure Sensor "A" Circuit intermittent
P019500 	Engine Oil Temperature Sensor Circuit
P019600 	Engine Oil Temperature Sensor Circuit range/performance
P019700 	Engine Oil Temperature Sensor Circuit low
P019800 	Engine Oil Temperature Sensor Circuit high
P019900 	Engine Oil Temperature Sensor Circuit Intermittent/Erratic
P020000 	Injector Circuit open
P020100 	Cylinder 1- Injector Circuit
P020200 	Cylinder 2- Injector Circuit
P020300 	Cylinder 3- Injector Circuit
P020400 	Cylinder 4- Injector Circuit
P020500 	Cylinder 5- Injector Circuit
P020600 	Cylinder 6- Injector Circuit
P020700 	Cylinder 7- Injector Circuit
P020800 	Cylinder 8- Injector Circuit
P020900 	Cylinder 9- Injector Circuit
P020A00 	Cylinder 1 Injection Timing
P020B00 	Cylinder 2 Injection Timing
P020C00 	Cylinder 3 Injection Timing
P020D00 	Cylinder 4 Injection Timing
P020E00 	Cylinder 5 Injection Timing
P020F00 	Cylinder 6 Injection Timing
P021000 	Cylinder 10- Injector Circuit
P021100 	Cylinder 11- Injector Circuit
P021200 	Cylinder 12- Injector Circuit
P021500 	Engine Shutoff Solenoid
P021600 	Injection Timing Control Circuit
P021800 	Transmission Fluid Over Temperature Condition
P021900 	Engine Overspeed Condition
P021A00 	Cylinder 7 Injection Timing
P021B00 	Cylinder 8 Injection Timing
P021C00 	Cylinder 9 Injection Timing
P021D00 	Cylinder 10 Injection Timing
P021E00 	Cylinder 11 Injection Timing
P021F00 	Cylinder 12 Injection Timing
P022100 	Throttle/Pedal Position Sensor/Switch B Range/Performance
P022200 	Throttle/Pedal Position Sensor/Switch B Low Input
P022300 	Throttle/Pedal Position Sensor/Switch B High Input
P022500 	Throttle/Pedal Position Sensor/Switch C
P022600 	Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance
P022700 	Throttle/Pedal Position Sensor/Switch C Circuit Low Input
P022800 	Throttle/Pedal Position Sensor/Switch C Circuit High Input
P022A00 	Charge Air Cooler Bypass Control "A" Circuit /Open
P022B00 	Charge Air Cooler Bypass Control "A" Circuit Low
P022C00 	Charge Air Cooler Bypass Control "A" Circuit High
P023000 	Fuel Pump Primary Circuit
P023400 	Turbo/Super Charger Overboost Condition
P023500 	Turbo/Super Charger Boost Sensor A Circ.
P023600 	Turbocharger Boost Sensor (A) Circ. Range/Performance
P023700 	Turbocharger Boost Sensor (A) Circ. Low Input
P023800 	Turbocharger Boost Sensor (A) Circ. High Input
P023F00 	Fuel Pump Secondary Circuit/Open
P024000 	Turbo/Super Charger Boost Sensor "B" Circuit Range/Performance
P024100 	Turbo/Super Charger Boost Sensor "B" Circuit Low
P024200 	Turbo/Super Charger Boost Sensor "B" Circuit High
P024300 	Turbo/Super Charger Wastegate Solonoid A
P024500 	Turbo/Super Charger Wasteg.Solonoid A Low
P024600 	Turbo/Sup.Charger Wasteg.Solonoid A High
P024900 	Turbo/Super Charger Wastegate Solenoid "B" Low
P024A00 	Charge Air Cooler Bypass Control "A" Range/Performance
P024B00 	Charge Air Cooler Bypass Control "A" Stuck
P025000 	Turbo/Super Charger Wastegate Solenoid "B" High
P025100 	Injection Pump Fuel Metering Control "A" (Cam/Rotor/Injector)
P025200 	Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector)
P025A00 	Fuel Pump Module Control Circuit/Open
P025B00 	Fuel Pump Module Control Circuit Range/Performance
P025C00 	Fuel Pump Module Control Circuit Low
P025D00 	Fuel Pump Module Control Circuit High
P026100 	Cylinder 1- Injector Circuit Low
P026200 	Cylinder 1- Injector Circuit High
P026300 	Cylinder 1 Contribution/Balance
P026400 	Cylinder 2- Injector Circuit Low
P026500 	Cylinder 2- Injector Circuit High
P026600 	Cylinder 2 Contribution/Balance
P026700 	Cylinder 3- Injector Circuit Low
P026800 	Cylinder 3- Injector Circuit High
P026900 	Cylinder 3 Contribution/Balance
P027000 	Cylinder 4- Injector Circuit Low
P027100 	Cylinder 4- Injector Circuit High
P027200 	Cylinder 4 Contribution/Balance
P027300 	Cylinder 5- Injector Circuit Low
P027400 	Cylinder 5- Injector Circuit High
P027500 	Cylinder 5 Contribution/Balance
P027600 	Cylinder 6- Injector Circuit Low
P027700 	Cylinder 6- Injector Circuit High
P027800 	Cylinder 6 Contribution/Balance
P027900 	Cylinder 7- Injector Circuit Low
P028000 	Cylinder 7- Injector Circuit High
P028100 	Cylinder 7 Contribution/Balance
P028200 	Cylinder 8- Injector Circuit Low
P028300 	Cylinder 8- Injector Circuit High
P028400 	Cylinder 8 Contribution/Balance
P028500 	Cylinder 9- Injector Circuit Low
P028600 	Cylinder 9- Injector Circuit High
P028700 	Cylinder 9 Contribution/Balance
P028800 	Cylinder 10- Injector Circuit Low
P028900 	Cylinder 10- Injector Circuit High
P029000 	Cylinder 10 Contribution/Balance
P029100 	Cylinder 11- Injector Circuit Low
P029200 	Cylinder 11- Injector Circuit High
P029300 	Cylinder 11 Contribution/Balance
P029400 	Cylinder 12- Injector Circuit Low
P029500 	Cylinder 12- Injector Circuit High
P029600 	Cylinder 12 Contribution/Balance
P029900 	Turbo/Super Charger Underboost
P02CA00 	Turbocharger/Supercharger "B" Overboost Condition
P02CB00 	Turbocharger/Supercharger "B" Underboost Condition
P02CD00 	Cylinder 1 Fuel Injector Offset Learning At Max Limit
P02CF00 	Cylinder 2 Fuel Injector Offset Learning At Max Limit
P02D100 	Cylinder 3 Fuel Injector Offset Learning At Max Limit
P02D300 	Cylinder 4 Fuel Injector Offset Learning At Max Limit
P030000 	Random/Multiple Cylinder Misfire Detected
P030100 	Cyl.1 Misfire Detected
P030200 	Cyl.2 Misfire Detected
P030300 	Cyl.3 Misfire Detected
P030400 	Cyl.4 Misfire Detected
P030500 	Cyl.5 Misfire Detected
P030600 	Cyl.6 Misfire Detected
P030700 	Cyl.7 Misfire Detected
P030800 	Cyl.8 Misfire Detected
P030900 	Cyl.9 Misfire Detected
P031000 	Cyl.10 Misfire Detected
P031100 	Cyl.11 Misfire Detected
P031200 	Cyl.12 Misfire Detected
P031300 	Misfire Detected with Low Fuel
P031400 	Single Cylinder Misfire
P031800 	Rough Road Sensor "A" Signal Circuit
P032100 	Ign./Distributor Eng.Speed Inp.Circ. Range/Performance
P032200 	Ign./Distributor Eng.Speed Inp.Circ. No Signal
P032400 	Knock Control System Error
P032500 	Knock Sensor 1 Circuit Malfunktion
P032600 	Knock Sensor 1 Circuit Range/Performance
P032700 	Knock Sensor 1 Circ. Low Input
P032800 	Knock Sensor 1 Circ. High Input
P033000 	Knock Sensor 2 Circuit
P033100 	Knock Sensor 2 Circuit Range/Performance
P033200 	Knock Sensor 2 Circ. Low Input
P033300 	Knock Sensor 2 Circ. High Input
P033500 	Crankshaft Position Sensor A Circuit
P033600 	Crankshaft Position Sensor A Circuit Range/Performance
P033700 	Crankshaft Pos.Sensor (A) Circ. Low Input
P033900 	Crankshaft Position Sensor "A" Circuit Intermittent
P034000 	Camshaft Position Sensor Circuit
P034100 	Camshaft Pos.Sensor Circ. Range/Performance
P034200 	Camshaft Pos.Sensor Circ. Low Input
P034300 	Camshaft Pos.Sensor Circ. High Input
P034500 	Camshaft Position Sensor Circuit Bank2
P034600 	Camshaft Pos.Sensor Circ. (Bank2) Range/Performance
P034700 	Camshaft Pos.Sensor "A" Circ. (Bank2) Low
P034800 	Camshaft Pos.Sensor "A" Circ. (Bank2) High
P035100 	Ignition Coil A Primary/secondary Circuit
P035200 	Ignition Coil B Primary/secondary Circuit
P035300 	Ignition Coil C Primary/secondary Circuit
P035400 	Ignition Coil D Primary/secondary Circuit
P035500 	Ignition Coil E Primary/secondary Circuit
P035600 	Ignition Coil F Primary/secondary Circuit
P035700 	Ignition Coil G Primary/secondary Circuit
P035800 	Ignition Coil H Primary/secondary Circuit
P035900 	Ignition Coil I Primary/secondary Circuit
P036000 	Ignition Coil J Primary/secondary Circuit
P036100 	Ignition Coil K Primary/secondary Circuit
P036200 	Ignition Coil L Primary/secondary Circuit
P036300 	Misfire Detected - Fueling Disabled
P036500 	Camshaft Position Sensor "B" Circuit (Bank 1)
P036600 	Camshaft Pos.Sensor "B" Circ. (Bank 1) Range/Performance
P036700 	Camshaft Pos.Sensor "B" Circ. (Bank 1) Low Input
P036800 	Camshaft Pos.Sensor "B" Circ. (Bank 1) High Input
P038000 	Glow Plug/Heater Circuit "A"
P038100 	Glow Plug/Heater Indicator Circuit
P038300 	Glow Plug Control Module Control Circuit Low
P038400 	Glow Plug Control Module Control Circuit High
P039000 	Camshaft Position Sensor "B" Circuit (Bank 2)
P039100 	Camshaft Pos.Sensor "B" Circ. (Bank 2) Range/Performance
P039200 	Camshaft Pos.Sensor "B" Circ. (Bank 2) Low Input
P039300 	Camshaft Pos.Sensor "B" Circ. (Bank 2) High Input
P039B00 	Cylinder 1 Pressure Too High
P03A500 	Cylinder 2 Pressure Too High
P03AF00 	Cylinder 3 Pressure Too High
P03B900 	Cylinder 4 Pressure Too High
P03C300 	Cylinder 5 Pressure Too High
P03CD00 	Cylinder 6 Pressure Too High
P040000 	Exhaust Gas Recirc."A" Flow
P040100 	Exhaust Gas Recirc.Flow Insufficient Detected
P040200 	Exhaust Gas Recirc.Flow Excessive Detected
P040300 	Exhaust Gas Recirculation Circuit
P040400 	Exhaust Gas Recirculation Circuit Range/Performance
P040500 	Exhaust Gas Recirculat.Sensor A Circuit Low
P040600 	Exhaust Gas Recirculat.Sensor A Circuit High
P040700 	Exhaust Gas Recirculat.Sensor B Circuit Low
P040800 	Exhaust Gas Recirculat.Sensor B Circuit High
P040B00 	Exhaust Gas Recirculation Temperature Sensor "A" Circuit Range/Performance
P040C00 	Exhaust Gas Recirculation Temperature Sensor "A" Circuit Low
P040D00 	Exhaust Gas Recirculation Temperature Sensor "A" Circuit High
P041000 	Sec.Air Inj.Sys. Malfunction
P041100 	Sec.Air Inj.Sys. Incorrect Flow Detected
P041200 	Sec.Air Inj.Sys.Switching Valve A Circ. Malfunction
P041300 	Sec.Air Inj.Sys.Switching Valve A Circ. Open
P041400 	Sec.Air Inj.Sys.Switching Valve A Circ. Shorted
P041500 	Sec.Air Inj.Sys.Switching Valve B Circ. Malfunction
P041600 	Sec.Air Inj.Sys.Switching Valve B Circ. Open
P041700 	Sec.Air Inj.Sys.Switching Valve B Circ. Shorted
P041800 	Sec. Air Injection System Relay A Circuit
P041900 	Sec. Air Injection System Relay B Circuit
P042000 	Catalyst System,Bank1 Efficiency Below Threshold
P042100 	Warm Up Catalyst, Bank1 Efficiency Below Threshold
P042200 	Main Catalyst,Bank1 Efficiency Below Threshold
P042500 	Catalyst Temperature Sensor Circuit
P042600 	Catalyst Temperature Sensor Circuit Range/Performance
P042700 	Catalyst Temperature Sensor Bank1 Low Input
P042800 	Catalyst Temperature Sensor Bank1 High Input
P043000 	Catalyst System, Bank2 Efficiency Below Threshold
P043100 	Warm Up Catalyst, Bank2 Efficiency Below Threshold
P043200 	Main Catalyst,Bank2 Efficiency Below Threshold
P043600 	Catalyst Temperature Sensor Bank2 Range/performance
P043700 	Catalyst Temperature Sensor Bank2 Low Input
P043800 	Catalyst Temperature Sensor Bank2 High Input
P044000 	EVAP Emission Contr.Sys. Malfunction
P044100 	EVAP Emission Contr.Sys.Incorrect Purge Flow
P044200 	EVAP Emission Contr.Sys.(Small Leak) Leak Detected
P044300 	Evaporativ Emiss.System Purge Control Valve Circ.
P044400 	Evaporativ Emiss.System Purge Control Valve Circ. Open
P044500 	Evaporativ Emiss.System Purge Control Valve Circ. Shorted
P044900 	Evaporativ Emiss.System Vent Valve/Solenoid Circ.
P045000 	Evaporative Emission System Pressure Sensor/Switch
P045100 	Evaporative Emission System Pressure Sensor/Switch Range/Performance
P045200 	EVAP Emission Contr.Sys.Press.Sensor Low Input
P045300 	EVAP Emission Contr.Sys.Press.Sensor High Input
P045500 	EVAP Emission Contr.Sys.(Gross Leak) Leak Detected
P045600 	EVAP Emission Contr. Sys. (very small Leak) Leak Detected
P045800 	Evaporative Emission System Purge Control Valve Circuit Low
P045900 	Evaporative Emission System Purge Control Valve Circuit High
P045A00 	Exhaust Gas Recirculation "B" Control Circuit
P045B00 	Exhaust Gas Recirculation "B" Control Circuit Range/Performance
P045C00 	Exhaust Gas Recirculation "B" Control Circuit Low
P045D00 	Exhaust Gas Recirculation "B" Control Circuit High
P045E00 	Exhaust Gas Recirculation "B" Control Stuck Open
P045F00 	Exhaust Gas Recirculation "B" Control Stuck Closed
P046100 	Fuel Level Sensor Circ. Range/Performance
P046200 	Fuel Lever Sensor Circuit Low Input
P046300 	Fuel Lever Sensor Circuit High Input
P046C00 	Exhaust Gas Recirculation Sensor "A" Circuit Range/Performance
P046E00 	Exhaust Gas Recirculation Sensor "B" Circuit Range/Performance
P047000 	Exhaust Pressure Sensor "A"
P047100 	Exhaust Pressure Sensor "A" Range/Performance
P047200 	Exhaust Pressure Sensor "A"Low
P047300 	Exhaust Pressure Sensor "A" High
P047500 	Exhaust Pressure Control Valve "A"
P047600 	Exhaust Pressure Control Valve "A" Range/Performance
P047700 	Exhaust Pressure Control Valve "A" Low
P047800 	Exhaust Pressure Control Valve "A" High
P047A00 	Exhaust Pressure Sensor "B"
P047B00 	Exhaust Pressure Sensor "B" Range/Performance
P047C00 	Exhaust Pressure Sensor "B" Low
P047D00 	Exhaust Pressure Sensor "B" High
P047F00 	Exhaust Pressure Control Valve "A" Stuck Open
P048000 	Cooling Fan 1 Control Circuit
P048100 	Cooling Fan 2 Control Circuit
P048600 	Exhaust Gas Recirculation Sensor "B" Circuit
P048900 	Exhaust Gas Recirculation Control Circuit Low
P048A00 	Exhaust Pressure Control Valve "A" Stuck Closed
P048B00 	Exhaust Pressure Control Valve Position Sensor/Switch Circuit
P048C00 	Exhaust Pressure Control Valve Pos. Sensor/Switch Circuit Range/Performance
P048E00 	Exhaust Pressure Control Valve Pos. Sensor/Switch Circuit High
P049000 	Exhaust Gas Recirculation Control Circuit High
P049100 	Secondary Air Injection System (Bank 1) insufficient flow
P049200 	Secondary Air Injection System (Bank 2)
P049800 	Evaporative Emission System Vent Valve Control Circuit Low
P049900 	Evaporative Emission System Vent Valve Control Circuit High
P049A00 	Exhaust Gas Recirc."B" Flow
P049D00 	Exhaust Gas Recirculation "A" Control Position Exceeded Learning Limit
P049E00 	Exhaust Gas Recirculation "B" Control Position Exceeded Learning Limit
P050100 	Vehicle Speed Sensor "A" Range/Performance
P050200 	Vehicle Speed Sensor "A" Circuit Low Input
P050300 	Vehicle Speed Sensor "A" Intermittend/Erratic/High
P050500 	Idle Control System
P050600 	Idle Control System RPM Lower than Expected
P050700 	Idle Control System RPM Higher than Expected
P050A00 	Cold Start Idle Air Control System Performance
P050B00 	Cold Start Ignition Timing Performance
P051000 	Closed Throttle Pos.Switch Malfunction
P051300 	Incorrect Immobilizer Key
P053100 	A/C Refrigerant Pressure Sensor Circuit Range/Performance
P053200 	A/C Refrigerant Pressure Sensor Circuit low Input
P053300 	A/C Refrigerant Pressure Sensor Circuit high Input
P053700 	A/C Evaporator Temperature Sensor Circuit Low
P053800 	A/C Evaporator Temperature Sensor Circuit High
P053A00 	Positive Crankcase Ventilation Heater Control Circuit /Open
P053B00 	Positive Crankcase Ventilation Heater Control Circuit Low
P053C00 	Positive Crankcase Ventilation Heater Control Circuit High
P054400 	Exhaust Gas Temperatur Sensor Circuit - Bank 1
P054500 	Exhaust Gas Temperatur Sensor Circuit - Bank 1 Low
P054600 	Exhaust Gas Temperatur Sensor Circuit - Bank 1 High
P054700 	Exhaust Gas Temperatur Sensor Circuit - Bank 2
P054800 	Exhaust Gas Temperatur Sensor Circuit - Bank 2 Low
P054900 	Exhaust Gas Temperatur Sensor Circuit - Bank 2 High
P055000 	Power Steering Pressure Circuit
P055100 	Power Steering Pressure Sensor Circuit Range/Performance
P056000 	System Voltage Malfunction
P056100 	System Voltage Unstable
P056200 	System Voltage Low Voltage
P056300 	System Voltage High Voltage
P056800 	Cruise Control Set Signal
P057100 	Cruise/Brake Switch (A) Circ. Malfunction
P059700 	Thermostat Heater Control Circuit Open
P059800 	Thermostat Heater Control Circuit Low
P059900 	Thermostat Heater Control Circuit High
P060000 	Serial Link Communication
P060100 	Internal Contr.Module Memory Check Sum Error
P060200 	Control Modul Programming Error
P060300 	Internal Contr.Module (KAM) Error
P060400 	Internal Contr.Module Random Access Memory (RAM) Error
